"bibtex_key","author","title","year","explicit","separate","embedded","juxtaposed","interchangeable","abstraction","tree","node-attribute","overlay","node-link-diagram","multiples","hybrid","matrix","disjoint-hierarchical","disjoint-flat","overlapping-flat","overlapping-hierarchical"
"bach_small_2015","Bach, B.; Henry-Riche, N.; Dwyer, T.; Madhyastha, T.; Fekete, J-D.; Grabowski, T.","Small {MultiPiles}: {Piling} {Time} to {Explore} {Temporal} {Patterns} in {Dynamic} {Networks","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA
"bach_visualizing_2013","Bach, Benjamin; Pietriga, Emmanuel; Liccardi, Ilaria","Visualizing {Populated} {Ontologies} with {OntoTrix}:","2013",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"bach_visualizing_2014","Bach, Benjamin; Pietriga, Emmanuel; Fekete, Jean-Daniel","Visualizing dynamic networks with matrix cubes","2014",NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA
"balzer_exploring_2005","Balzer, M.; Deussen, O.","Exploring {Relations} within {Software} {Systems} {Using} {Treemap} {Enhanced} {Hierarchical} {Graphs","2005",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"balzer_level--detail_2007","Balzer, Michael; Deussen, Oliver","Level-of-detail visualization of clustered graph layouts","2007",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"barsky_cerebral_2008","Barsky, Aaron; Munzner, Tamara; Gardy, Jennifer; Kincaid, Robert","Cerebral: {Visualizing} {Multiple} {Experimental} {Conditions} on a {Graph} with {Biological} {Context","2008",NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA
"beck_rapid_2012","Beck, Fabian; Burch, Michael; Vehlow, Corinna; Diehl, Stephan; Weiskopf, Daniel","Rapid {Serial} {Visual} {Presentation} in dynamic graph visualization","2012",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"beck_visual_2010","Beck, Fabian; Diehl, Stephan","Visual comparison of software architectures","2010",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"beck_visually_2011","Beck, Fabian; Petkov, Radoslav; Diehl, Stephan","Visually exploring multi-dimensional code couplings","2011",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"behrisch_visual_2014","Behrisch, Michael; Davey, James; Fischer, Fabian; Thonnard, Olivier; Schreck, Tobias; Keim, Daniel; Kohlhammer, Jörn","Visual {Analysis} of {Sets} of {Heterogeneous} {Matrices} {Using} {Projection}-{Based} {Distance} {Functions} and {Semantic} {Zoom","2014",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
