"bibtex_key","author","title","year","explicit","separate","embedded","juxtaposed","interchangeable","abstraction","tree","node-attribute","overlay","node-link-diagram","multiples","hybrid","matrix","disjoint-hierarchical","disjoint-flat","overlapping-flat","overlapping-hierarchical"
"jackle_temporal_2016","Jäckle, Dominik; Fischer, Fabian; Schreck, Tobias; Keim, Daniel A.","Temporal {MDS} {Plots} for {Analysis} of {Multivariate} {Data","2016",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"jankun-kelly_moiregraphs_2003","Jankun-Kelly, T.J.; Ma, Kwan-Liu","MoireGraphs}: radial focus+context visualization and interaction for graphs with visual nodes","2003",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"jusufi_multivariate_2013","Jusufi, Ilir; Kerren, Andreas; Zimmer, Björn","Multivariate {Network} {Exploration} with {JauntyNets","2013",NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2
"kairam_refinery_2015","Kairam, S.; Riche, N. H.; Drucker, S.; Fernandez, R.; Heer, J.","Refinery: {Visual} {Exploration} of {Large}, {Heterogeneous} {Networks} through {Associative} {Browsing","2015",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"koenig_interactive_2010","Koenig, Pierre-Yves; Zaidi, Faraz; Archambault, D.","Interactive {Searching} and {Visualization} of {Patterns} in {Attributed} {Graphs}.","2010",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"krzywinski_hive_2012","Krzywinski, Martin; Birol, Inanc; Jones, Steven JM; Marra, Marco A","Hive plots—rational approach to visualizing networks","2012",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"kumar_visual_2006","Kumar, Gautam; Garland, Michael","Visual exploration of complex time-varying graphs","2006",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"lambert_visualizing_2012","Lambert, A.; Queyroi, F.; Bourqui, R.","Visualizing {Patterns} in {Node}-link {Diagrams","2012",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"lex_caleydo_2010","Lex, Alexander; Streit, Marc; Kruijff, Ernst; Schmalstieg, Dieter","Caleydo: {Design} and evaluation of a visual analysis framework for gene expression data in its biological context","2010",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"lex_entourage_2013","Lex, Alexander; Partl, Christian; Kalkofen, Denis; Streit, Marc; Gratzl, Samuel; Wassermann, Anne Mai; Schmalstieg, Dieter; Pfister, Hanspeter","Entourage: {Visualizing} {Relationships} between {Biological} {Pathways} using {Contextual} {Subsets","2013",NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA
"lin_contextour_2010","Lin, Yu-Ru; Sun, Jimeng; Cao, Nan; Liu, Shixia","ContexTour}: {Contextual} {Contour} {Visual} {Analysis} on {Dynamic} {Multi}-{Relational} {Clustering","2010",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"liu_effects_2015","Liu, Xiaotong; Shen, Han-Wei","The {Effects} of {Representation} and {Juxtaposition} on {Graphical} {Perception} of {Matrix} {Visualization","2015",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"liu_hybridvis_2017","Liu, Yuhua; Wang, Changbo; Ye, Peng; Zhang, Kang","HybridVis}: {An} adaptive hybrid-scale visualization of multivariate graphs","2017",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"ma_visualizing_2015","Ma, Chihua; Kenyon, Robert V.; Forbes, Angus G.; Berger-Wolf, Tanya; Slater, Bernard J.; Llano, Daniel A.","Visualizing {Dynamic} {Brain} {Networks} {Using} an {Animated} {Dual}-{Representation","2015",NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA
"mashima_visualizing_2012","Mashima, Daisuke; Kobourov, Stephen; Hu, Yifan","Visualizing {Dynamic} {Data} with {Maps","2012",NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA
"mccurdy_poemage_2016","McCurdy, Nina; Lein, Julie; Coles, Katharine; Meyer, Miriah","Poemage: {Visualizing} the {Sonic} {Topology} of a {Poem","2016",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"meyer_mizbee_2009","Meyer, Miriah; Munzner, Tamara; Pfister, Hanspeter","MizBee}: {A} {Multiscale} {Synteny} {Browser","2009",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"misue_drawing_2011","Misue, Kazuo; Zhou, Qi","Drawing {Semi}-bipartite {Graphs} in {Anchor}+{Matrix} {Style","2011",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"nakazawa_integrated_2012","Nakazawa, Rina; Itoh, Takayuki; Sese, Jun; Terada, Aika","Integrated {Visualization} of {Gene} {Network} and {Ontology} {Applying} a {Hierarchical} {Graph} {Visualization} {Technique","2012",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"naquin_circus_2014","Naquin, Delphine; d’Aubenton-Carafa, Yves; Thermes, Claude; Silvain, Maud","CIRCUS}: a package for {Circos} display of structural genome variations from paired-end and mate-pair sequencing data","2014",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"neumann_arctrees_2005","Neumann, Petra; Schlechtweg, Dr Stefan; Carpendale, Sheelagh","ArcTrees}: {Visualizing} {Relations} in {Hierarchical} {Data","2005",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"nobre_lineage_2019","Nobre, Carolina; Gehlenborg, Nils; Coon, Hilary; Lex, Alexander","Lineage: {Visualizing} {Multivariate} {Clinical} {Data} in {Genealogy} {Graphs","2019",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"oelke_fingerprint_2013","Oelke, D.; Kokkinakis, D.; Keim, D. A.","Fingerprint {Matrices}: {Uncovering} the dynamics of social networks in prose literature","2013",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"paduano_extended_2015","Paduano, Francesco; Forbes, Angus Graeme","Extended {LineSets}: a visualization technique for the interactive inspection of biological pathways","2015",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"partl_contour_2014","Partl, Christian; Lex, Alexander; Streit, Marc; Strobelt, Hendrik; Wassermann, Anne-Mai; Pfister, Hanspeter; Schmalstieg, Dieter","ConTour}: {Data}-{Driven} {Exploration} of {Multi}-{Relational} {Datasets} for {Drug} {Discovery","2014",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
"partl_enroute_2012","Partl, Christian; Lex, Alexander; Streit, Marc; Kalkofen, Denis; Kashofer, Karl; Schmalstieg, Dieter","enRoute}: {Dynamic} path extraction from biological pathway maps for in-depth experimental data analysis","2012",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"partl_enroute_2013","Partl, Christian; Lex, Alexander; Streit, Marc; Kalkofen, Denis; Kashofer, Karl; Schmalstieg, Dieter","enRoute}: dynamic path extraction from biological pathway maps for exploring heterogeneous experimental datasets","2013",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"perer_matrixflow_2012","Perer, Adam; Sun, Jimeng","MatrixFlow}: {Temporal} {Network} {Visual} {Analytics} to {Track} {Symptom} {Evolution} during {Disease} {Progression","2012",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"pienta_vigor_2018","Pienta, Robert; Hohman, Fred; Endert, Alex; Tamersoy, Acar; Roundy, Kevin; Gates, Chris; Navathe, Shamkant; Chau, Duen Horng","VIGOR}: {Interactive} {Visual} {Exploration} of {Graph} {Query} {Results","2018",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"pretorius_visual_2006","Pretorius, A. Johannes; Van Wijk, Jarke J.","Visual {Analysis} of {Multivariate} {State} {Transition} {Graphs","2006",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"pretorius_visual_2008","Pretorius, A. Johannes; Van Wijk, Jarke J.","Visual {Inspection} of {Multivariate} {Graphs","2008",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"reitz_focused_2009","Reitz, Florian; Pohl, Mathias; Diehl, Stephan","Focused {Animation} of {Dynamic} {Compound} {Graphs","2009",NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA
"rodrigues_group---box_2011","Rodrigues, Eduarda Mendes; Milic-Frayling, Natasa; Smith, Marc; Shneiderman, Ben; Hansen, Derek","Group-in-a-{Box} {Layout} for {Multi}-faceted {Analysis} of {Communities","2011",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"rohrschneider_novel_2010","Rohrschneider, Markus; Heine, Christian; Reichenbach, André; Kerren, Andreas; Scheuermann, Gerik","A {Novel} {Grid}-{Based} {Visualization} {Approach} for {Metabolic} {Networks} with {Advanced} {Focus}\&{Context} {View","2010",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"rufiange_animatrix_2014","Rufiange, Sébastien; Melançon, Guy","AniMatrix}: {A} {Matrix}-{Based} {Visualization} of {Software} {Evolution","2014",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"rufiange_diffani_2013","Rufiange, Sébastien; McGuffin, Michael J.","DiffAni}: {Visualizing} {Dynamic} {Graphs} with a {Hybrid} of {Difference} {Maps} and {Animation","2013",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"rufiange_treematrix_2012","Rufiange, Sébastien; McGuffin, Michael J.; Fuhrman, Christopher P.","TreeMatrix}: {A} {Hybrid} {Visualization} of {Compound} {Graphs","2012",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"rufiange_visualizing_2014","Rufiange, Sébastien; Fuhrman, Christopher P.","Visualizing protected variations in evolving software designs","2014",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"sallaberry_clustering_2013","Sallaberry, Arnaud; Muelder, Chris; Ma, Kwan-Liu","Clustering, {Visualizing}, and {Navigating} for {Large} {Dynamic} {Graphs","2013",NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA
"sallaberry_interactive_nodate","Sallaberry, Arnaud; Zaidi, Faraz; Pich, C; Melançon, Guy","Interactive {Visualization} and {Navigation} of {Web} {Search} {Results} {Revealing} {Community} {Structures} and {Bridges",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"santamaria_overlapping_2008","Santamaría, Rodrigo; Therón, Roberto","Overlapping {Clustered} {Graphs}: {Co}-authorship {Networks} {Visualization","2008",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"schreiber_generic_2009","Schreiber, Falk; Dwyer, Tim; Marriott, Kim; Wybrow, Michael","A generic algorithm for layout of biological networks","2009",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"shen_visual_2006","Shen, Zeqian; Ma, Kwan-Liu; Eliassi-Rad, T.","Visual {Analysis} of {Large} {Heterogeneous} {Social} {Networks} by {Semantic} and {Structural} {Abstraction","2006",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"sprenger_h-blob_2000","Sprenger, T.C.; Brunella, R.; Gross, M.H.","H-{BLOB}: a hierarchical visual clustering method using implicit surfaces","2000",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"stein_pixel-oriented_2010","Stein, Klaus; Wegener, René; Schlieder, Christoph","Pixel-{Oriented} {Visualization} of {Change} in {Social} {Networks","2010",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"telea_code_2008","Telea, Alexandru; Auber, David","Code {Flows}: {Visualizing} {Structural} {Evolution} of {Source} {Code","2008",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"twellmeyer_visual_2015","Twellmeyer, James; Hutter, Marco; Behrisch, Michael; Kohlhammer, Jörn; Schreck, Tobias","The {Visual} {Exploration} of {Aggregate} {Similarity} for {Multi}-{Dimensional} {Clustering","2015",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"van_den_elzen_multivariate_2014","van den Elzen, Stef; van Wijk, Jarke J.","Multivariate {Network} {Exploration} and {Presentation}: {From} {Detail} to {Overview} via {Selections} and {Aggregations","2014",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"van_ham_centrality_2008","Van Ham, F.; Wattenberg, M.","Centrality {Based} {Visualization} of {Small} {World} {Graphs","2008",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"van_ham_interactive_2004","van Ham, F.; van Wijk, J.J.","Interactive {Visualization} of {Small} {World} {Graphs","2004",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"van_ham_using_2003","van Ham, F.","Using multilevel call matrices in large software projects","2003",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"vehlow_ivun_2013","Vehlow, Corinna; Hasenauer, Jan; Kramer, Andrei; Raue, Andreas; Hug, Sabine; Timmer, Jens; Radde, Nicole; Theis, Fabian J.; Weiskopf, Daniel","iVUN}: interactive {Visualization} of {Uncertain} biochemical reaction {Networks","2013",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"vehlow_radial_2013","Vehlow, Corinna; Burch, Michael; Schmauder, Hansjorg; Weiskopf, Daniel","Radial {Layered} {Matrix} {Visualization} of {Dynamic} {Graphs","2013",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"vehlow_visualizing_2013","Vehlow, Corinna; Reinhardt, Thomas; Weiskopf, Daniel","Visualizing {Fuzzy} {Overlapping} {Communities} in {Networks","2013",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"vehlow_visualizing_2015","Vehlow, C.; Beck, F.; Auwärter, P.; Weiskopf, D.","Visualizing the {Evolution} of {Communities} in {Dynamic} {Graphs","2015",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"vogogias_bayespiles_2018","Vogogias, Athanasios; Kennedy, Jessie; Archambault, Daniel; Bach, Benjamin; Smith, V. Anne; Currant, Hannah","BayesPiles}: {Visualisation} {Support} for {Bayesian} {Network} {Structure} {Learning","2018",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"wang_topicpanorama_2016","Wang, Xiting; Liu, Shixia; Liu, Junlin; Chen, Jianfei; Zhu, Jun; Guo, Baining","TopicPanorama}: {A} {Full} {Picture} of {Relevant} {Topics","2016",NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2
"wattenberg_visual_2006","Wattenberg, Martin","Visual exploration of multivariate graphs","2006",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"xia_networkanalyst_2015","Xia, Jianguo; Gill, Erin E; Hancock, Robert E W","NetworkAnalyst} for statistical, visual and network-based meta-analysis of gene expression data","2015",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"xu_interactive_2016","Xu, Panpan; Cao, Nan; Qu, Huamin; Stasko, John","Interactive visual co-cluster analysis of bipartite graphs","2016",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
"xu_visual_2013","Xu, Panpan; Du, Fan; Cao, Nan; Shi, Conglei; Zhou, Hong; Qu, Huamin","Visual {Analysis} of {Set} {Relations} in a {Graph","2013",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
"yang_visual-analytic_2008","Yang, Xintian; Asur, Sitaram; Parthasarathy, Srinivasan; Mehta, Sameep","A visual-analytic toolkit for dynamic interaction graphs","2008",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"yoghourdjian_graph_2018","Yoghourdjian, Vahan; Dwyer, Tim; Klein, Karsten; Marriott, Kim; Wybrow, Michael","Graph {Thumbnails}: {Identifying} and {Comparing} {Multiple} {Graphs} at a {Glance","2018",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"zeng_multiplex_2016","Zeng, An; Battiston, Stefano","The {Multiplex} {Network} of {EU} {Lobby} {Organizations","2016",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"zhou_visualization_2015","Zhou, Hong; Xu, Panpan; Qu, Huamin","Visualization of bipartite relations between graphs and sets","2015",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
